,Zone,Code zone,Année,Produit,Code Produit,Disponibilité alimentaire (Kcal/personne/jour),Disponibilité de protéines en quantité (g/personne/jour),Exportations - Quantité,Importations - Quantité,Population totale,Production,Réserves,Stabilité politique,Revenu National Brut/hbt
30,Algérie,4,2014,Population,2501,0,0.0,0,0,38924,0,0,0.0,0.0
31,Algérie,4,2014,Produits Animaux,2941,444,27.76,0,0,0,0,0,0.0,0.0
32,Algérie,4,2014,Produits Vegetaux,2903,2932,67.14,0,0,0,0,0,0.0,0.0
33,Algérie,4,2018,Population,2501,0,0.0,0,0,42228,0,0,0.0,0.0
34,Algérie,4,2018,Poulets,1057,0,0.0,0,0,0,0,137393,0.0,0.0
35,Algérie,4,2018,Produits Animaux,2941,390,24.73,0,0,0,0,0,0.0,0.0
36,Algérie,4,2018,Produits Vegetaux,2903,2932,67.1,0,0,0,0,0,0.0,0.0
37,Algérie,4,2018,Revenu national brut par habitant,22039,0,0.0,0,0,0,0,0,0.0,4077.593095
38,Algérie,4,2018,Stabilité politique et absence de violence/terrorisme (indice),21032,0,0.0,0,0,0,0,0,-0.79,0.0
39,Algérie,4,2018,Viande de Volailles,2734,0,0.0,0,0,0,295,0,0.0,0.0
40,Allemagne,79,2014,Population,2501,0,0.0,0,0,81450,0,0,0.0,0.0
41,Allemagne,79,2014,Produits Animaux,2941,1070,62.87,0,0,0,0,0,0.0,0.0
42,Allemagne,79,2014,Produits Vegetaux,2903,2472,41.28,0,0,0,0,0,0.0,0.0
43,Allemagne,79,2018,Population,2501,0,0.0,0,0,83124,0,0,0.0,0.0
44,Allemagne,79,2018,Produits Animaux,2941,1086,64.03,0,0,0,0,0,0.0,0.0
45,Allemagne,79,2018,Produits Vegetaux,2903,2468,41.37,0,0,0,0,0,0.0,0.0
46,Allemagne,79,2018,Revenu national brut par habitant,22039,0,0.0,0,0,0,0,0,0.0,49335.792965
47,Allemagne,79,2018,Stabilité politique et absence de violence/terrorisme (indice),21032,0,0.0,0,0,0,0,0,0.6,0.0
48,Allemagne,79,2018,Viande de Volailles,2734,0,0.0,640,871,0,1571,0,0.0,0.0
49,Andorre,6,2018,Revenu national brut par habitant,22039,0,0.0,0,0,0,0,0,0.0,42080.557689999994
50,Andorre,6,2018,Stabilité politique et absence de violence/terrorisme (indice),21032,0,0.0,0,0,0,0,0,1.43,0.0
51,Angola,7,2014,Population,2501,0,0.0,0,0,26942,0,0,0.0,0.0
52,Angola,7,2014,Produits Animaux,2941,276,22.28,0,0,0,0,0,0.0,0.0
53,Angola,7,2014,Produits Vegetaux,2903,2142,35.65,0,0,0,0,0,0.0,0.0
54,Angola,7,2018,Population,2501,0,0.0,0,0,30810,0,0,0.0,0.0
55,Angola,7,2018,Poulets,1057,0,0.0,0,0,0,0,37402,0.0,0.0
56,Angola,7,2018,Produits Animaux,2941,208,16.31,0,0,0,0,0,0.0,0.0
57,Angola,7,2018,Produits Vegetaux,2903,2177,36.74,0,0,0,0,0,0.0,0.0
58,Angola,7,2018,Revenu national brut par habitant,22039,0,0.0,0,0,0,0,0,0.0,3176.6505079999997
59,Angola,7,2018,Stabilité politique et absence de violence/terrorisme (indice),21032,0,0.0,0,0,0,0,0,-0.32,0.0
60,Angola,7,2018,Viande de Volailles,2734,0,0.0,0,335,0,27,0,0.0,0.0
61,Anguilla,258,2018,Revenu national brut par habitant,22039,0,0.0,0,0,0,0,0,0.0,19498.213483
62,Antigua-et-Barbuda,8,2014,Population,2501,0,0.0,0,0,93,0,0,0.0,0.0
63,Antigua-et-Barbuda,8,2014,Produits Animaux,2941,745,51.38,0,0,0,0,0,0.0,0.0
64,Antigua-et-Barbuda,8,2014,Produits Vegetaux,2903,1655,28.55,0,0,0,0,0,0.0,0.0
65,Antigua-et-Barbuda,8,2018,Population,2501,0,0.0,0,0,96,0,0,0.0,0.0
66,Antigua-et-Barbuda,8,2018,Poulets,1057,0,0.0,0,0,0,0,160,0.0,0.0
67,Antigua-et-Barbuda,8,2018,Produits Animaux,2941,740,51.74,0,0,0,0,0,0.0,0.0
68,Antigua-et-Barbuda,8,2018,Produits Vegetaux,2903,1705,28.45,0,0,0,0,0,0.0,0.0
69,Antigua-et-Barbuda,8,2018,Revenu national brut par habitant,22039,0,0.0,0,0,0,0,0,0.0,15697.965105000001
70,Antigua-et-Barbuda,8,2018,Stabilité politique et absence de violence/terrorisme (indice),21032,0,0.0,0,0,0,0,0,0.73,0.0
71,Antigua-et-Barbuda,8,2018,Viande de Volailles,2734,0,0.0,0,7,0,0,0,0.0,0.0
72,Arabie saoudite,194,2014,Population,2501,0,0.0,0,0,30917,0,0,0.0,0.0
73,Arabie saoudite,194,2014,Produits Animaux,2941,500,37.24,0,0,0,0,0,0.0,0.0
74,Arabie saoudite,194,2014,Produits Vegetaux,2903,2774,53.92,0,0,0,0,0,0.0,0.0
75,Arabie saoudite,194,2018,Population,2501,0,0.0,0,0,33703,0,0,0.0,0.0
76,Arabie saoudite,194,2018,Poulets,1057,0,0.0,0,0,0,0,193746,0.0,0.0
77,Arabie saoudite,194,2018,Produits Animaux,2941,448,32.74,0,0,0,0,0,0.0,0.0
78,Arabie saoudite,194,2018,Produits Vegetaux,2903,2859,54.2,0,0,0,0,0,0.0,0.0
79,Arabie saoudite,194,2018,Revenu national brut par habitant,22039,0,0.0,0,0,0,0,0,0.0,23554.055901
80,Arabie saoudite,194,2018,Stabilité politique et absence de violence/terrorisme (indice),21032,0,0.0,0,0,0,0,0,-0.52,0.0
81,Arabie saoudite,194,2018,Viande de Volailles,2734,0,0.0,35,640,0,554,0,0.0,0.0
82,Argentine,9,2014,Population,2501,0,0.0,0,0,42638,0,0,0.0,0.0
83,Argentine,9,2014,Produits Animaux,2941,972,64.52,0,0,0,0,0,0.0,0.0
84,Argentine,9,2014,Produits Vegetaux,2903,2273,37.29,0,0,0,0,0,0.0,0.0
85,Argentine,9,2018,Population,2501,0,0.0,0,0,44361,0,0,0.0,0.0
86,Argentine,9,2018,Poulets,1057,0,0.0,0,0,0,0,113600,0.0,0.0
87,Argentine,9,2018,Produits Animaux,2941,1043,69.05,0,0,0,0,0,0.0,0.0
88,Argentine,9,2018,Produits Vegetaux,2903,2264,37.72,0,0,0,0,0,0.0,0.0
89,Argentine,9,2018,Revenu national brut par habitant,22039,0,0.0,0,0,0,0,0,0.0,11209.057992
90,Argentine,9,2018,Stabilité politique et absence de violence/terrorisme (indice),21032,0,0.0,0,0,0,0,0,0.02,0.0
91,Argentine,9,2018,Viande de Volailles,2734,0,0.0,165,13,0,2115,0,0.0,0.0
92,Arménie,1,2014,Population,2501,0,0.0,0,0,2912,0,0,0.0,0.0
93,Arménie,1,2014,Produits Animaux,2941,811,45.37,0,0,0,0,0,0.0,0.0
94,Arménie,1,2014,Produits Vegetaux,2903,2258,52.12,0,0,0,0,0,0.0,0.0
95,Arménie,1,2018,Population,2501,0,0.0,0,0,2952,0,0,0.0,0.0
96,Arménie,1,2018,Poulets,1057,0,0.0,0,0,0,0,4406,0.0,0.0
97,Arménie,1,2018,Produits Animaux,2941,795,45.34,0,0,0,0,0,0.0,0.0
98,Arménie,1,2018,Produits Vegetaux,2903,2202,49.02,0,0,0,0,0,0.0,0.0
99,Arménie,1,2018,Revenu national brut par habitant,22039,0,0.0,0,0,0,0,0,0.0,4292.6472380000005
100,Arménie,1,2018,Stabilité politique et absence de violence/terrorisme (indice),21032,0,0.0,0,0,0,0,0,-0.42,0.0
101,Arménie,1,2018,Viande de Volailles,2734,0,0.0,0,33,0,12,0,0.0,0.0
102,Aruba,22,2018,Revenu national brut par habitant,22039,0,0.0,0,0,0,0,0,0.0,28398.157604000004
103,Australie,10,2014,Population,2501,0,0.0,0,0,23596,0,0,0.0,0.0
104,Australie,10,2014,Produits Animaux,2941,1047,72.4,0,0,0,0,0,0.0,0.0
105,Australie,10,2014,Produits Vegetaux,2903,2360,34.91,0,0,0,0,0,0.0,0.0
106,Australie,10,2018,Population,2501,0,0.0,0,0,24898,0,0,0.0,0.0
107,Australie,10,2018,Poulets,1057,0,0.0,0,0,0,0,99784,0.0,0.0
108,Australie,10,2018,Produits Animaux,2941,1051,70.7,0,0,0,0,0,0.0,0.0
109,Australie,10,2018,Produits Vegetaux,2903,2340,35.23,0,0,0,0,0,0.0,0.0
110,Australie,10,2018,Revenu national brut par habitant,22039,0,0.0,0,0,0,0,0,0.0,56682.67239299999
111,Australie,10,2018,Stabilité politique et absence de violence/terrorisme (indice),21032,0,0.0,0,0,0,0,0,0.98,0.0
112,Australie,10,2018,Viande de Volailles,2734,0,0.0,39,16,0,1235,0,0.0,0.0
113,Autriche,11,2014,Population,2501,0,0.0,0,0,8615,0,0,0.0,0.0
114,Autriche,11,2014,Produits Animaux,2941,1133,62.37,0,0,0,0,0,0.0,0.0
115,Autriche,11,2014,Produits Vegetaux,2903,2539,44.15,0,0,0,0,0,0.0,0.0
116,Autriche,11,2018,Population,2501,0,0.0,0,0,8891,0,0,0.0,0.0
117,Autriche,11,2018,Produits Animaux,2941,1166,65.83,0,0,0,0,0,0.0,0.0
118,Autriche,11,2018,Produits Vegetaux,2903,2529,43.29,0,0,0,0,0,0.0,0.0
119,Autriche,11,2018,Revenu national brut par habitant,22039,0,0.0,0,0,0,0,0,0.0,51904.409522
120,Autriche,11,2018,Stabilité politique et absence de violence/terrorisme (indice),21032,0,0.0,0,0,0,0,0,0.92,0.0
121,Autriche,11,2018,Viande de Volailles,2734,0,0.0,83,114,0,152,0,0.0,0.0
122,Azerbaïdjan,52,2014,Population,2501,0,0.0,0,0,9506,0,0,0.0,0.0
123,Azerbaïdjan,52,2014,Produits Animaux,2941,544,32.42,0,0,0,0,0,0.0,0.0
124,Azerbaïdjan,52,2014,Produits Vegetaux,2903,2549,59.32,0,0,0,0,0,0.0,0.0
125,Azerbaïdjan,52,2018,Population,2501,0,0.0,0,0,9950,0,0,0.0,0.0
126,Azerbaïdjan,52,2018,Poulets,1057,0,0.0,0,0,0,0,30498,0.0,0.0
127,Azerbaïdjan,52,2018,Produits Animaux,2941,553,32.53,0,0,0,0,0,0.0,0.0
128,Azerbaïdjan,52,2018,Produits Vegetaux,2903,2597,61.89,0,0,0,0,0,0.0,0.0
129,Azerbaïdjan,52,2018,Revenu national brut par habitant,22039,0,0.0,0,0,0,0,0,0.0,4490.715524
130,Azerbaïdjan,52,2018,Stabilité politique et absence de violence/terrorisme (indice),21032,0,0.0,0,0,0,0,0,-0.7,0.0
131,Azerbaïdjan,52,2018,Viande de Volailles,2734,0,0.0,1,35,0,109,0,0.0,0.0
132,Bahamas,12,2014,Population,2501,0,0.0,0,0,371,0,0,0.0,0.0
133,Bahamas,12,2014,Produits Animaux,2941,866,57.27,0,0,0,0,0,0.0,0.0
134,Bahamas,12,2014,Produits Vegetaux,2903,1770,27.4,0,0,0,0,0,0.0,0.0
135,Bahamas,12,2018,Population,2501,0,0.0,0,0,386,0,0,0.0,0.0
136,Bahamas,12,2018,Poulets,1057,0,0.0,0,0,0,0,3036,0.0,0.0
137,Bahamas,12,2018,Produits Animaux,2941,772,52.4,0,0,0,0,0,0.0,0.0
138,Bahamas,12,2018,Produits Vegetaux,2903,1883,28.3,0,0,0,0,0,0.0,0.0
139,Bahamas,12,2018,Revenu national brut par habitant,22039,0,0.0,0,0,0,0,0,0.0,29380.918392000003
140,Bahamas,12,2018,Stabilité politique et absence de violence/terrorisme (indice),21032,0,0.0,0,0,0,0,0,0.87,0.0
141,Bahamas,12,2018,Viande de Volailles,2734,0,0.0,0,26,0,7,0,0.0,0.0
142,Bahreïn,13,2018,Poulets,1057,0,0.0,0,0,0,0,9739,0.0,0.0
143,Bahreïn,13,2018,Revenu national brut par habitant,22039,0,0.0,0,0,0,0,0,0.0,22673.196192
144,Bahreïn,13,2018,Stabilité politique et absence de violence/terrorisme (indice),21032,0,0.0,0,0,0,0,0,-0.84,0.0
145,Bangladesh,16,2014,Population,2501,0,0.0,0,0,154517,0,0,0.0,0.0
146,Bangladesh,16,2014,Produits Animaux,2941,118,11.41,0,0,0,0,0,0.0,0.0
147,Bangladesh,16,2014,Produits Vegetaux,2903,2376,46.43,0,0,0,0,0,0.0,0.0
148,Bangladesh,16,2018,Population,2501,0,0.0,0,0,161377,0,0,0.0,0.0
149,Bangladesh,16,2018,Poulets,1057,0,0.0,0,0,0,0,282145,0.0,0.0
150,Bangladesh,16,2018,Produits Animaux,2941,128,12.56,0,0,0,0,0,0.0,0.0
151,Bangladesh,16,2018,Produits Vegetaux,2903,2436,48.17,0,0,0,0,0,0.0,0.0
152,Bangladesh,16,2018,Revenu national brut par habitant,22039,0,0.0,0,0,0,0,0,0.0,1694.5756059999999
153,Bangladesh,16,2018,Stabilité politique et absence de violence/terrorisme (indice),21032,0,0.0,0,0,0,0,0,-1.03,0.0
154,Bangladesh,16,2018,Viande de Volailles,2734,0,0.0,0,0,0,254,0,0.0,0.0
155,Barbade,14,2014,Population,2501,0,0.0,0,0,285,0,0,0.0,0.0
156,Barbade,14,2014,Produits Animaux,2941,666,49.2,0,0,0,0,0,0.0,0.0
157,Barbade,14,2014,Produits Vegetaux,2903,2246,36.89,0,0,0,0,0,0.0,0.0
158,Barbade,14,2018,Population,2501,0,0.0,0,0,287,0,0,0.0,0.0
159,Barbade,14,2018,Poulets,1057,0,0.0,0,0,0,0,4135,0.0,0.0
160,Barbade,14,2018,Produits Animaux,2941,712,51.02,0,0,0,0,0,0.0,0.0
161,Barbade,14,2018,Produits Vegetaux,2903,2243,37.67,0,0,0,0,0,0.0,0.0
162,Barbade,14,2018,Revenu national brut par habitant,22039,0,0.0,0,0,0,0,0,0.0,16950.690616
163,Barbade,14,2018,Stabilité politique et absence de violence/terrorisme (indice),21032,0,0.0,0,0,0,0,0,0.92,0.0
164,Barbade,14,2018,Viande de Volailles,2734,0,0.0,0,2,0,17,0,0.0,0.0
165,Belgique,255,2014,Population,2501,0,0.0,0,0,11221,0,0,0.0,0.0
166,Belgique,255,2014,Produits Animaux,2941,1152,55.32,0,0,0,0,0,0.0,0.0
167,Belgique,255,2014,Produits Vegetaux,2903,2637,43.16,0,0,0,0,0,0.0,0.0
168,Belgique,255,2018,Population,2501,0,0.0,0,0,11482,0,0,0.0,0.0
169,Belgique,255,2018,Poulets,1057,0,0.0,0,0,0,0,32327,0.0,0.0
170,Belgique,255,2018,Produits Animaux,2941,1147,58.58,0,0,0,0,0,0.0,0.0
171,Belgique,255,2018,Produits Vegetaux,2903,2622,41.29,0,0,0,0,0,0.0,0.0
172,Belgique,255,2018,Revenu national brut par habitant,22039,0,0.0,0,0,0,0,0,0.0,47529.116736
173,Belgique,255,2018,Stabilité politique et absence de violence/terrorisme (indice),21032,0,0.0,0,0,0,0,0,0.41,0.0
174,Belgique,255,2018,Viande de Volailles,2734,0,0.0,639,303,0,470,0,0.0,0.0
175,Belize,23,2014,Population,2501,0,0.0,0,0,353,0,0,0.0,0.0
176,Belize,23,2014,Produits Animaux,2941,448,25.63,0,0,0,0,0,0.0,0.0
177,Belize,23,2014,Produits Vegetaux,2903,2179,42.69,0,0,0,0,0,0.0,0.0
178,Belize,23,2018,Population,2501,0,0.0,0,0,383,0,0,0.0,0.0
179,Belize,23,2018,Poulets,1057,0,0.0,0,0,0,0,1632,0.0,0.0
180,Belize,23,2018,Produits Animaux,2941,586,30.82,0,0,0,0,0,0.0,0.0
181,Belize,23,2018,Produits Vegetaux,2903,2189,41.11,0,0,0,0,0,0.0,0.0
182,Belize,23,2018,Revenu national brut par habitant,22039,0,0.0,0,0,0,0,0,0.0,4568.565943
183,Belize,23,2018,Stabilité politique et absence de violence/terrorisme (indice),21032,0,0.0,0,0,0,0,0,0.02,0.0
184,Belize,23,2018,Viande de Volailles,2734,0,0.0,0,0,0,20,0,0.0,0.0
185,Bermudes,17,2018,Revenu national brut par habitant,22039,0,0.0,0,0,0,0,0,0.0,105812.161241
186,Bermudes,17,2018,Stabilité politique et absence de violence/terrorisme (indice),21032,0,0.0,0,0,0,0,0,1.16,0.0
187,Bhoutan,18,2018,Poulets,1057,0,0.0,0,0,0,0,1145,0.0,0.0
188,Bhoutan,18,2018,Revenu national brut par habitant,22039,0,0.0,0,0,0,0,0,0.0,3009.76635
189,Bhoutan,18,2018,Stabilité politique et absence de violence/terrorisme (indice),21032,0,0.0,0,0,0,0,0,1.1,0.0
190,Bolivie (État plurinational de),19,2014,Population,2501,0,0.0,0,0,10707,0,0,0.0,0.0
191,Bolivie (État plurinational de),19,2014,Produits Animaux,2941,472,30.31,0,0,0,0,0,0.0,0.0
192,Bolivie (État plurinational de),19,2014,Produits Vegetaux,2903,1838,37.44,0,0,0,0,0,0.0,0.0
193,Bolivie (État plurinational de),19,2018,Population,2501,0,0.0,0,0,11353,0,0,0.0,0.0
194,Bolivie (État plurinational de),19,2018,Poulets,1057,0,0.0,0,0,0,0,224931,0.0,0.0
195,Bolivie (État plurinational de),19,2018,Produits Animaux,2941,544,35.46,0,0,0,0,0,0.0,0.0
196,Bolivie (État plurinational de),19,2018,Produits Vegetaux,2903,1868,37.78,0,0,0,0,0,0.0,0.0
197,Bolivie (État plurinational de),19,2018,Revenu national brut par habitant,22039,0,0.0,0,0,0,0,0,0.0,3507.311868
198,Bolivie (État plurinational de),19,2018,Stabilité politique et absence de violence/terrorisme (indice),21032,0,0.0,0,0,0,0,0,-0.24,0.0
199,Bolivie (État plurinational de),19,2018,Viande de Volailles,2734,0,0.0,1,0,0,484,0,0.0,0.0
200,Bosnie-Herzégovine,80,2014,Population,2501,0,0.0,0,0,3482,0,0,0.0,0.0
201,Bosnie-Herzégovine,80,2014,Produits Animaux,2941,560,32.91,0,0,0,0,0,0.0,0.0
202,Bosnie-Herzégovine,80,2014,Produits Vegetaux,2903,2640,60.45,0,0,0,0,0,0.0,0.0
203,Bosnie-Herzégovine,80,2018,Population,2501,0,0.0,0,0,3324,0,0,0.0,0.0
204,Bosnie-Herzégovine,80,2018,Poulets,1057,0,0.0,0,0,0,0,16229,0.0,0.0
205,Bosnie-Herzégovine,80,2018,Produits Animaux,2941,614,36.98,0,0,0,0,0,0.0,0.0
206,Bosnie-Herzégovine,80,2018,Produits Vegetaux,2903,2693,61.84,0,0,0,0,0,0.0,0.0
207,Bosnie-Herzégovine,80,2018,Revenu national brut par habitant,22039,0,0.0,0,0,0,0,0,0.0,5617.162606
208,Bosnie-Herzégovine,80,2018,Stabilité politique et absence de violence/terrorisme (indice),21032,0,0.0,0,0,0,0,0,-0.39,0.0
209,Bosnie-Herzégovine,80,2018,Viande de Volailles,2734,0,0.0,8,12,0,62,0,0.0,0.0
210,Botswana,20,2014,Population,2501,0,0.0,0,0,2089,0,0,0.0,0.0
211,Botswana,20,2014,Produits Animaux,2941,484,32.2,0,0,0,0,0,0.0,0.0
212,Botswana,20,2014,Produits Vegetaux,2903,1901,36.6,0,0,0,0,0,0.0,0.0
213,Botswana,20,2018,Population,2501,0,0.0,0,0,2254,0,0,0.0,0.0
214,Botswana,20,2018,Poulets,1057,0,0.0,0,0,0,0,571,0.0,0.0
215,Botswana,20,2018,Produits Animaux,2941,398,28.02,0,0,0,0,0,0.0,0.0
216,Botswana,20,2018,Produits Vegetaux,2903,1944,37.87,0,0,0,0,0,0.0,0.0
217,Botswana,20,2018,Revenu national brut par habitant,22039,0,0.0,0,0,0,0,0,0.0,7712.235202
218,Botswana,20,2018,Stabilité politique et absence de violence/terrorisme (indice),21032,0,0.0,0,0,0,0,0,0.98,0.0
219,Botswana,20,2018,Viande de Volailles,2734,0,0.0,0,5,0,4,0,0.0,0.0
220,Brunéi Darussalam,26,2018,Poulets,1057,0,0.0,0,0,0,0,18397,0.0,0.0
221,Brunéi Darussalam,26,2018,Revenu national brut par habitant,22039,0,0.0,0,0,0,0,0,0.0,31742.693304
222,Brunéi Darussalam,26,2018,Stabilité politique et absence de violence/terrorisme (indice),21032,0,0.0,0,0,0,0,0,1.2,0.0
223,Brésil,21,2014,Population,2501,0,0.0,0,0,202764,0,0,0.0,0.0
224,Brésil,21,2014,Produits Animaux,2941,844,52.88,0,0,0,0,0,0.0,0.0
225,Brésil,21,2014,Produits Vegetaux,2903,2459,41.37,0,0,0,0,0,0.0,0.0
226,Brésil,21,2018,Population,2501,0,0.0,0,0,209469,0,0,0.0,0.0
227,Brésil,21,2018,Poulets,1057,0,0.0,0,0,0,0,1465616,0.0,0.0
228,Brésil,21,2018,Produits Animaux,2941,860,53.77,0,0,0,0,0,0.0,0.0
229,Brésil,21,2018,Produits Vegetaux,2903,2441,41.91,0,0,0,0,0,0.0,0.0
230,Brésil,21,2018,Revenu national brut par habitant,22039,0,0.0,0,0,0,0,0,0.0,8726.722809
231,Brésil,21,2018,Stabilité politique et absence de violence/terrorisme (indice),21032,0,0.0,0,0,0,0,0,-0.36,0.0
232,Brésil,21,2018,Viande de Volailles,2734,0,0.0,4012,3,0,13938,0,0.0,0.0
233,Bulgarie,27,2014,Population,2501,0,0.0,0,0,7246,0,0,0.0,0.0
234,Bulgarie,27,2014,Produits Animaux,2941,669,39.8,0,0,0,0,0,0.0,0.0
235,Bulgarie,27,2014,Produits Vegetaux,2903,2196,45.72,0,0,0,0,0,0.0,0.0
236,Bulgarie,27,2018,Population,2501,0,0.0,0,0,7052,0,0,0.0,0.0
237,Bulgarie,27,2018,Poulets,1057,0,0.0,0,0,0,0,18830,0.0,0.0
238,Bulgarie,27,2018,Produits Animaux,2941,703,41.96,0,0,0,0,0,0.0,0.0
239,Bulgarie,27,2018,Produits Vegetaux,2903,2151,41.3,0,0,0,0,0,0.0,0.0
240,Bulgarie,27,2018,Revenu national brut par habitant,22039,0,0.0,0,0,0,0,0,0.0,9494.826209
241,Bulgarie,27,2018,Stabilité politique et absence de violence/terrorisme (indice),21032,0,0.0,0,0,0,0,0,0.42,0.0
242,Bulgarie,27,2018,Viande de Volailles,2734,0,0.0,46,108,0,118,0,0.0,0.0
243,Burkina Faso,233,2014,Population,2501,0,0.0,0,0,17586,0,0,0.0,0.0
244,Burkina Faso,233,2014,Produits Animaux,2941,168,11.87,0,0,0,0,0,0.0,0.0
245,Burkina Faso,233,2014,Produits Vegetaux,2903,2569,68.47,0,0,0,0,0,0.0,0.0
246,Burkina Faso,233,2018,Population,2501,0,0.0,0,0,19751,0,0,0.0,0.0
247,Burkina Faso,233,2018,Poulets,1057,0,0.0,0,0,0,0,37988,0.0,0.0
248,Burkina Faso,233,2018,Produits Animaux,2941,159,11.41,0,0,0,0,0,0.0,0.0
249,Burkina Faso,233,2018,Produits Vegetaux,2903,2578,68.75,0,0,0,0,0,0.0,0.0
250,Burkina Faso,233,2018,Revenu national brut par habitant,22039,0,0.0,0,0,0,0,0,0.0,796.764211
251,Burkina Faso,233,2018,Stabilité politique et absence de violence/terrorisme (indice),21032,0,0.0,0,0,0,0,0,-1.04,0.0
252,Burkina Faso,233,2018,Viande de Volailles,2734,0,0.0,0,0,0,47,0,0.0,0.0
253,Burundi,29,2018,Poulets,1057,0,0.0,0,0,0,0,2850,0.0,0.0
254,Burundi,29,2018,Revenu national brut par habitant,22039,0,0.0,0,0,0,0,0,0.0,292.659155
255,Burundi,29,2018,Stabilité politique et absence de violence/terrorisme (indice),21032,0,0.0,0,0,0,0,0,-1.6,0.0
256,Bélarus,57,2014,Population,2501,0,0.0,0,0,9432,0,0,0.0,0.0
257,Bélarus,57,2014,Produits Animaux,2941,786,48.59,0,0,0,0,0,0.0,0.0
258,Bélarus,57,2014,Produits Vegetaux,2903,2550,41.75,0,0,0,0,0,0.0,0.0
259,Bélarus,57,2018,Population,2501,0,0.0,0,0,9453,0,0,0.0,0.0
260,Bélarus,57,2018,Poulets,1057,0,0.0,0,0,0,0,45675,0.0,0.0
261,Bélarus,57,2018,Produits Animaux,2941,838,52.2,0,0,0,0,0,0.0,0.0
262,Bélarus,57,2018,Produits Vegetaux,2903,2432,39.75,0,0,0,0,0,0.0,0.0
263,Bélarus,57,2018,Revenu national brut par habitant,22039,0,0.0,0,0,0,0,0,0.0,6064.269403
264,Bélarus,57,2018,Stabilité politique et absence de violence/terrorisme (indice),21032,0,0.0,0,0,0,0,0,0.35,0.0
265,Bélarus,57,2018,Viande de Volailles,2734,0,0.0,168,11,0,466,0,0.0,0.0
266,Bénin,53,2014,Population,2501,0,0.0,0,0,10287,0,0,0.0,0.0
267,Bénin,53,2014,Produits Animaux,2941,158,17.31,0,0,0,0,0,0.0,0.0
